"ID_VIV","ID_PER","UPM","VIV_SEL","R_SEL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","COD_RES","P4_1","P4_2_01","P4_2_02","P4_2_03","P4_2_04","P4_2_05","P4_2_06","P4_2_07","P4_2_08","P4_2_09","P4_2_10","P4_2_11","P4_2_12","P4_2_13","P4_2_14","P4_2_15","P4_2_16","P5_1","P5_2","P5_3","P5_4","P5_5","P5_6","P5_7","P5_8","P5_9","P5_10","P5_11","P5_12","P5_13","P5_14","P5_15","P5_16","P5_17","P5_18","P5_19","P5_20","P5_21","P6_1","P6_2","P6_3","P6_4","P6_5","P6_6","P6_7_1","P6_7_2","P6_7_3","P6_7_4","P6_7_5","P6_7_6","P6_7_7","P6_7_8","P6_7_9","P7_1_01","P7_1_02","P7_1_03","P7_1_04","P7_1_05","P7_1_06","P7_1_07","P7_1_08","P7_1_09","P7_1_10","P7_1_11","P7_1_12","P7_1_13","P7_1_14","P7_1_14E","P7_1_15","P7_1_99","P7_2","P7_3","P7_4","P8_1","P8_2","P8_3_01","P8_3_02","P8_3_03","P8_3_04","P8_3_05","P8_3_06","P8_3_07","P8_3_08","P8_3_09","P8_3_10","P8_3_11","P8_3_12","P8_3_13","P8_3_14","P8_3_15","P8_3_15E","P8_4_01","P8_4_04","P8_4_06","P8_4_13","P8_4_14","P8_5_01","P8_5_02","P8_5_03","P8_5_04","P8_5_05","P8_5_06","P8_5_07","P8_5_08","P8_5_09","P8_5_10","P8_5_11","P8_5_12","P8_5_13","P8_5_14","P8_5_15","P8_5_15E","P8_6_1","P8_6_2","P8_6_3","P8_6_4","P8_6_5","P8_6_6","P8_6_7","P8_6_8","P8_6_9","P8_7","P8_8","P8_9","P9_1","P9_2","P9_3","P9_4","P9_5","P9_6","P9_7","P9_7E","P9_8_1","P9_8_2","P9_8_3","P9_8_4","P9_8_5","P9_8_6","P9_8_7","P9_8_8","P9_9","P9_10_1","P9_10_2","P9_10_3","P9_10_4","P9_10_5","P9_11_1","P9_11_2","P9_11_3","P9_11_4","P9_12_01","P9_12_02","P9_12_03","P9_12_04","P9_12_05","P9_12_06","P9_12_07","P9_12_08","P9_12_09","P9_12_98","P9_12_99","FAC_SEL","DOMINIO","UPM_DIS","EST_DIS"
"0100179.01","0100179.01.02","0100179","01","02","01","AGUASCALIENTES","001","AGUASCALIENTES","01","08","08","08","08","07","07","08","09","09","09","08","08","08","08","07","08","08","07","07","08","08","07","07","08","08","08","09","09","08","09","06","06","05","05","07","08","05","05","09","09","09","1","1","1","08","09","08","08","08","09","08","09","08","1","0","0","1","0","0","0","0","0","0","1","0","0","0","","0","0","06","06","05","08","05","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","","3","4","4","4","4","2","1","2","2","2","1","1","1","3","3","2","2","2","","","0","1","0","1","0","0","0","0","0","1","1","","1","","3","2","2","07","0018000","DIECIOCHO MIL","0","0","0","0","0","0","0","1","2","07","07","05","05","07","2","2","1","1","0","0","0","1","0","1","0","0","0","0","0","11857.8806928281","U","0001","0001"
"0100179.03","0100179.03.01","0100179","03","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","10","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","08","05","05","10","10","10","10","05","05","08","08","00","05","00","05","05","07","06","08","08","1","1","2","","","","","","","","","","0","1","0","1","0","0","0","0","1","0","0","0","0","0","","0","0","06","05","05","10","00","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","1","4","4","4","4","3","1","1","2","2","1","3","1","2","2","3","3","3","1","","","1","1","0","1","0","0","0","1","0","9","","","1","","1","2","1","03","0009000","NUEVE MIL","1","0","0","0","0","0","0","0","2","06","00","00","06","06","2","2","2","2","0","0","0","1","1","1","0","0","0","0","0","11857.8806928281","U","0001","0001"
"0100179.04","0100179.04.01","0100179","04","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","08","08","09","08","09","07","05","00","05","07","08","08","07","09","07","06","10","08","08","05","09","05","08","09","08","09","10","09","09","10","08","08","09","08","06","08","08","07","09","07","08","1","1","1","08","08","08","09","09","10","08","08","09","1","1","0","0","0","0","0","0","1","0","0","0","0","0","","0","0","07","09","08","09","05","1","2","2","2","2","1","2","1","1","2","2","2","2","2","2","","","4","","4","4","3","1","1","1","2","2","2","2","2","2","1","2","1","1","","","1","0","0","0","0","0","0","0","0","1","1","","1","","2","2","1","03","0010000","DIEZ MIL","0","0","1","0","0","0","1","0","1","09","09","09","08","09","1","2","1","1","0","1","0","0","0","1","0","0","0","0","0","17786.8210392421","U","0001","0001"
"0100179.05","0100179.05.01","0100179","05","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","05","05","05","05","04","04","04","03","05","04","05","05","05","04","05","04","07","08","05","06","06","05","00","05","05","07","08","08","07","08","00","07","00","00","07","03","00","07","08","08","07","1","1","2","","","","","","","","","","1","0","0","0","0","0","0","0","1","0","0","1","0","0","","0","0","05","05","00","09","05","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","4","4","4","4","4","3","1","1","2","2","2","2","1","2","2","2","1","1","1","","","0","0","0","0","0","0","0","1","0","2","","2","1","","1","1","2","99","9999997","NO RESPONDE","0","0","0","0","0","0","0","1","2","05","03","03","05","03","2","2","2","2","0","1","0","0","0","0","0","0","0","0","0","5928.940346414","U","0001","0001"
"0100195.01","0100195.01.01","0100195","01","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","10","09","08","08","09","09","09","09","09","09","08","08","08","09","08","09","09","08","07","08","08","07","09","08","08","08","10","10","09","09","08","09","09","07","05","09","02","07","09","10","09","2","2","2","","","","","","","","","","1","0","0","1","0","0","0","0","0","0","0","1","0","0","","0","0","05","07","02","08","07","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","1","4","4","4","4","3","1","1","2","2","2","2","2","1","2","2","2","2","2","","","1","0","0","0","0","0","0","1","0","1","1","","1","","4","2","1","07","0020000","VEINTE MIL","0","0","0","0","0","0","0","1","2","08","09","09","08","08","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0","12877.727800262","U","0002","0002"
"0100195.02","0100195.02.01","0100195","02","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","04","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","05","00","02","05","05","00","05","05","04","04","10","10","05","10","03","05","03","00","03","05","05","05","02","05","05","1","1","1","09","05","05","05","09","09","05","05","05","1","1","0","1","0","0","0","0","0","0","0","0","0","0","","0","0","98","99","05","02","05","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","","1","4","4","4","4","3","2","2","1","1","1","1","1","1","1","2","2","1","1","","","1","0","0","0","0","0","0","1","0","2","","2","1","","1","2","2","99","9999997","NO RESPONDE","1","0","0","0","0","0","0","0","2","05","05","06","06","05","3","3","3","3","0","1","0","0","0","0","0","0","0","0","0","38633.183400786","U","0002","0002"
"0100195.03","0100195.03.01","0100195","03","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","10","05","05","08","00","00","00","08","08","08","08","08","08","05","05","08","08","05","05","00","00","05","08","05","08","05","05","05","08","05","05","08","05","05","00","06","00","08","08","05","05","2","1","2","","","","","","","","","","1","1","0","1","0","0","0","0","0","0","0","0","0","0","","0","0","00","00","05","00","05","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","1","4","4","4","4","3","2","1","1","3","2","2","1","3","2","3","2","3","3","","","1","0","1","0","0","0","0","1","0","1","1","","1","","2","2","1","03","0010000","DIEZ MIL","1","0","0","0","0","0","0","0","3","99","99","99","99","99","2","1","2","1","0","0","0","0","0","0","0","0","1","0","0","19316.591700393","U","0002","0002"
"0100195.04","0100195.04.03","0100195","04","03","01","AGUASCALIENTES","001","AGUASCALIENTES","01","08","08","08","08","08","08","05","09","06","06","08","08","07","08","09","10","10","06","07","10","08","09","09","08","09","08","10","10","08","07","10","09","08","08","08","08","09","09","09","07","08","1","1","1","09","09","09","09","10","09","09","10","10","1","1","0","1","0","0","0","0","0","0","0","0","0","0","","0","0","07","08","05","07","00","1","2","2","2","2","2","2","2","2","2","1","2","2","2","2","","","1","1","1","1","1","2","2","2","3","1","1","1","1","2","2","2","1","1","","","1","0","0","0","0","1","0","1","0","1","1","","1","","2","2","2","02","0007000","SIETE MIL","0","0","0","0","0","0","0","1","1","09","00","05","08","04","2","1","2","2","0","1","0","0","0","1","0","0","0","0","0","19316.591700393","U","0002","0002"
"0100195.05","0100195.05.01","0100195","05","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","05","05","05","05","00","00","05","05","00","00","05","05","05","09","05","05","09","00","05","05","05","08","05","05","05","08","09","10","08","08","05","09","05","05","05","08","05","08","08","05","09","1","2","2","","","","","","","","","","0","0","0","1","0","0","0","0","1","0","0","0","1","0","","0","0","07","07","07","00","08","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","1","4","4","4","4","3","1","1","1","2","2","1","1","2","2","2","2","1","1","","","1","0","0","1","0","0","0","0","0","2","","2","1","","1","2","1","05","0015000","QUINCE MIL","0","0","0","0","0","0","0","1","2","07","05","05","05","05","2","2","2","2","0","1","0","0","0","1","0","0","0","0","0","12877.727800262","U","0002","0002"
"0100590.03","0100590.03.02","0100590","03","02","01","AGUASCALIENTES","001","AGUASCALIENTES","01","07","05","05","05","05","05","03","05","05","05","05","05","05","03","05","07","05","04","05","05","07","02","02","03","03","03","09","08","05","06","03","07","05","04","04","05","05","07","05","05","07","2","1","2","","","","","","","","","","0","0","0","1","0","0","0","0","1","0","1","0","0","0","","0","0","03","04","06","05","06","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","1","4","3","3","3","4","3","3","4","3","4","2","3","4","4","3","3","3","3","","","1","0","0","0","1","0","0","1","0","1","1","","1","","3","2","2","08","0040000","CUARENTA MIL","0","0","0","0","0","0","0","1","2","06","03","03","05","05","2","2","2","2","0","1","0","0","0","1","0","0","0","0","0","11738.0735758606","U","0003","0003"
