"NOMBRE_CAMPO","NEMONICO","TIPO","LONGITUD","RANGO_CLAVES"
"Identificador de vivienda seleccionada","ID_VIV","Caracter","10","0100001.01, …, 3299999.05"
"Identificador de persona","ID_PER","Caracter","13","0100001.01.01, …, 3299999.05.30"
"Unidad primaria de muestreo","UPM","Caracter","7","0100001, …, 3299999"
"Número de vivienda seleccionada","VIV_SEL","Caracter","2","01, …, 05"
"Número de renglón de la persona seleccionada","R_SEL","Caracter","2","01, …, 30"
"Clave de entidad federativa","CVE_ENT","Caracter","2","01, …, 32"
"Nombre de la entidad federativa","NOM_ENT","Texto","255","Texto mínimo 6 caracteres"
"Clave de municipio","CVE_MUN","Caracter","3","001, …, 570"
"Nombre del municipio","NOM_MUN","Texto","255","Texto mínimo 6 caracteres"
"Resultado de la visita a la vivienda","COD_RES","Caracter","2","01"
"Confianza en la mayoría de las personas","P4_1","Caracter","2","00, 01, …, 09, 10"
"Confianza en la mayoría de las personas","P4_1","Caracter","2","99"
"Confianza en instituciones públicas y actores sociales. Gobierno federal ","P4_2_01","Caracter","2","00, 01, …, 09, 10"
"Confianza en instituciones públicas y actores sociales. Gobierno federal ","P4_2_01","Caracter","2","99"
"Confianza en instituciones públicas y actores sociales. Gobierno estatal ","P4_2_02","Caracter","2","00, 01, …, 09, 10"
"Confianza en instituciones públicas y actores sociales. Gobierno estatal ","P4_2_02","Caracter","2","99"
"Confianza en instituciones públicas y actores sociales. Gobierno municipal / de la alcaldía ","P4_2_03","Caracter","2","00, 01, …, 09, 10"
"Confianza en instituciones públicas y actores sociales. Gobierno municipal / de la alcaldía ","P4_2_03","Caracter","2","99"
"Confianza en instituciones públicas y actores sociales. Congreso de la Unión","P4_2_04","Caracter","2","00, 01, …, 09, 10"
"Confianza en instituciones públicas y actores sociales. Congreso de la Unión","P4_2_04","Caracter","2","99"
"Confianza en instituciones públicas y actores sociales. Congreso estatal ","P4_2_05","Caracter","2","00, 01, …, 09, 10"
"Confianza en instituciones públicas y actores sociales. Congreso estatal ","P4_2_05","Caracter","2","99"
"Confianza en instituciones públicas y actores sociales. Partidos políticos","P4_2_06","Caracter","2","00, 01, …, 09, 10"
"Confianza en instituciones públicas y actores sociales. Partidos políticos","P4_2_06","Caracter","2","99"
"Confianza en instituciones públicas y actores sociales. Guardia Nacional","P4_2_07","Caracter","2","00, 01, …, 09, 10"
"Confianza en instituciones públicas y actores sociales. Guardia Nacional","P4_2_07","Caracter","2","99"
"Confianza en instituciones públicas y actores sociales. Policía estatal ","P4_2_08","Caracter","2","00, 01, …, 09, 10"
"Confianza en instituciones públicas y actores sociales. Policía estatal ","P4_2_08","Caracter","2","99"
"Confianza en instituciones públicas y actores sociales. Policía Preventiva Municipal ","P4_2_09","Caracter","2","00, 01, …, 09, 10"
"Confianza en instituciones públicas y actores sociales. Policía Preventiva Municipal ","P4_2_09","Caracter","2","99"
"Confianza en instituciones públicas y actores sociales. Personas empleadas del gobierno federal","P4_2_10","Caracter","2","00, 01, …, 09, 10"
"Confianza en instituciones públicas y actores sociales. Personas empleadas del gobierno federal","P4_2_10","Caracter","2","99"
"Confianza en instituciones públicas y actores sociales. Personas empleadas del gobierno estatal","P4_2_11","Caracter","2","00, 01, …, 09, 10"
"Confianza en instituciones públicas y actores sociales. Personas empleadas del gobierno estatal","P4_2_11","Caracter","2","99"
"Confianza en instituciones públicas y actores sociales. Personas empleadas del gobierno municipal / de la alcaldía","P4_2_12","Caracter","2","00, 01, …, 09, 10"
