"ID_VIV","ID_PER","UPM","VIV_SEL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","COD_RES","R_INF","SEL_D","SEL_M","N_REN","PAREN","SEXO","EDAD","NAC_D","NAC_M","COD","NIV","GRA","P3_8","P3_9","P3_10","P3_11","FAC_VIV","FAC_SEL","DOMINIO","UPM_DIS","EST_DIS"
"0100179.01","0100179.01.01","0100179","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","29","09","01","1","1","43","17","05","2","06","3","2","1","","2","5928.94034641405","0","U","0001","0001"
"0100179.01","0100179.01.02","0100179","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","29","09","02","2","2","37","15","03","1","08","5","2","1","","2","5928.94034641405","11857.8806928281","U","0001","0001"
"0100179.01","0100179.01.03","0100179","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","29","09","03","3","2","08","","","","02","2","1","","","","5928.94034641405","0","U","0001","0001"
"0100179.01","0100179.01.04","0100179","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","29","09","04","3","1","02","","","","","","","","","","5928.94034641405","0","U","0001","0001"
"0100179.03","0100179.03.01","0100179","03","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","27","09","01","1","1","45","19","12","1","06","3","2","8","4","","5928.94034641405","11857.8806928281","U","0001","0001"
"0100179.03","0100179.03.02","0100179","03","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","27","09","02","2","2","47","25","02","2","08","5","2","1","","2","5928.94034641405","0","U","0001","0001"
"0100179.03","0100179.03.03","0100179","03","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","27","09","03","3","2","11","","","","02","5","1","","","","5928.94034641405","0","U","0001","0001"
"0100179.04","0100179.04.01","0100179","04","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","27","09","01","1","1","47","01","11","1","06","3","2","1","","3","5928.94034641405","17786.8210392421","U","0001","0001"
"0100179.04","0100179.04.02","0100179","04","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","27","09","02","2","2","46","01","01","2","03","3","2","1","","3","5928.94034641405","0","U","0001","0001"
"0100179.04","0100179.04.03","0100179","04","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","27","09","03","3","2","22","24","08","2","08","2","1","4","4","","5928.94034641405","0","U","0001","0001"
