"NOMBRE_CAMPO","NEMONICO","TIPO","LONGITUD","RANGO_CLAVES"
"Identificador de vivienda seleccionada","ID_VIV","Caracter","10","0100001.01, …, 3299999.05"
"Identificador de persona","ID_PER","Caracter","13","0100001.01.01, …, 3299999.05.30"
"Unidad primaria de muestreo","UPM","Caracter","7","0100001, …, 3299999"
"Número de vivienda seleccionada","VIV_SEL","Caracter","2","01, …, 05"
"Clave de entidad federativa","CVE_ENT","Caracter","2","01, …, 32"
"Nombre de la entidad federativa","NOM_ENT","Texto","255","Texto mínimo 6 caracteres"
"Clave de municipio","CVE_MUN","Caracter","3","001, …, 570"
"Nombre del municipio","NOM_MUN","Texto","255","Texto mínimo 6 caracteres"
"Resultado de la visita a la vivienda","COD_RES","Caracter","2","01"
"Número de renglón de la persona informante adecuada","R_INF","Caracter","2","01, …, 30"
"Día de la fecha en que se eligió a la persona informante seleccionada","SEL_D","Caracter","2","01, 02, 03, 26, …, 30"
"Mes de la fecha en que se eligió a la persona informante seleccionada","SEL_M","Caracter","2","09, 10"
"Número de renglón","N_REN","Caracter","2","01, ..., 30"
"Parentesco","PAREN","Numérico","1","1"
"Parentesco","PAREN","Numérico","1","2"
"Parentesco","PAREN","Numérico","1","3"
"Parentesco","PAREN","Numérico","1","4"
"Parentesco","PAREN","Numérico","1","5"
"Parentesco","PAREN","Numérico","1","6"
"Sexo","SEXO","Numérico","1","1"
"Sexo","SEXO","Numérico","1","2"
"Edad","EDAD","Caracter","2","01, ..., 96"
"Edad","EDAD","Caracter","2","00"
"Edad","EDAD","Caracter","2","97"
"Edad","EDAD","Caracter","2","98"
"Edad","EDAD","Caracter","2","99"
"Elegibilidad: Dia de nacimiento","NAC_D","Caracter","2","01, ..., 31"
"Elegibilidad: Dia de nacimiento","NAC_D","Caracter","2","99"
"Elegibilidad: Mes de nacimiento","NAC_M","Caracter","2","01, ..., 12"
"Elegibilidad: Mes de nacimiento","NAC_M","Caracter","2","99"
"Elegibilidad: Código","COD","Numérico","1","1"
"Elegibilidad: Código","COD","Numérico","1","2"
"Escolaridad: Nivel","NIV","Caracter","2","00"
"Escolaridad: Nivel","NIV","Caracter","2","01"
"Escolaridad: Nivel","NIV","Caracter","2","02"
"Escolaridad: Nivel","NIV","Caracter","2","03"
"Escolaridad: Nivel","NIV","Caracter","2","04"
"Escolaridad: Nivel","NIV","Caracter","2","05"
"Escolaridad: Nivel","NIV","Caracter","2","06"
"Escolaridad: Nivel","NIV","Caracter","2","07"
"Escolaridad: Nivel","NIV","Caracter","2","08"
"Escolaridad: Nivel","NIV","Caracter","2","09"
"Escolaridad: Nivel","NIV","Caracter","2","10"
"Escolaridad: Nivel","NIV","Caracter","2","99"
"Escolaridad: Grado","GRA","Numérico","1","1, ...,6"
"Escolaridad: Grado","GRA","Numérico","1","9"
"Asistencia escolar","P3_8","Numérico","1","1"
"Asistencia escolar","P3_8","Numérico","1","2"
"Asistencia escolar","P3_8","Numérico","1","9"
"Condición de actividad","P3_9","Numérico","1","1"
"Condición de actividad","P3_9","Numérico","1","2"
"Condición de actividad","P3_9","Numérico","1","3"
"Condición de actividad","P3_9","Numérico","1","4"
"Condición de actividad","P3_9","Numérico","1","5"
"Condición de actividad","P3_9","Numérico","1","6"
"Condición de actividad","P3_9","Numérico","1","7"
"Condición de actividad","P3_9","Numérico","1","8"
"Verificación de la condición de actividad","P3_10","Numérico","1","1"
"Verificación de la condición de actividad","P3_10","Numérico","1","2"
"Verificación de la condición de actividad","P3_10","Numérico","1","3"
"Verificación de la condición de actividad","P3_10","Numérico","1","4"
"Verificación de la condición de actividad","P3_10","Numérico","1","9"
"Posición en la ocupación","P3_11","Numérico","1","1"
"Posición en la ocupación","P3_11","Numérico","1","2"
"Posición en la ocupación","P3_11","Numérico","1","3"
"Posición en la ocupación","P3_11","Numérico","1","4"
"Posición en la ocupación","P3_11","Numérico","1","5"
"Factor de expansión de vivienda","FAC_VIV","Numérico","6","1, …, 999999"
"Factor de expansión del seleccionado","FAC_SEL","Numérico","6","1, …, 999999"
"Dominio","DOMINIO","Caracter","1","U"
"Unidad primaria de muestreo de diseño","UPM_DIS","Caracter","7","0000001, …, 9999999"
"Estrato de Diseño","EST_DIS","Caracter","3","001, …, 999"
