"ID_VIV","UPM","VIV_SEL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","COD_RES","P1_1","P2_1","P2_2","P2_3","P2_4","FAC_VIV","DOMINIO","UPM_DIS","EST_DIS"
"0100179.01","0100179","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","1","04","1","","","5928.94034641405","U","0001","0001"
"0100179.03","0100179","03","01","AGUASCALIENTES","001","AGUASCALIENTES","01","1","03","1","","","5928.94034641405","U","0001","0001"
"0100179.04","0100179","04","01","AGUASCALIENTES","001","AGUASCALIENTES","01","1","05","1","","","5928.94034641405","U","0001","0001"
"0100179.05","0100179","05","01","AGUASCALIENTES","001","AGUASCALIENTES","01","1","05","1","","","5928.94034641405","U","0001","0001"
"0100195.01","0100195","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","1","03","1","","","6438.863900131","U","0002","0002"
"0100195.02","0100195","02","01","AGUASCALIENTES","001","AGUASCALIENTES","01","1","09","1","","","6438.863900131","U","0002","0002"
"0100195.03","0100195","03","01","AGUASCALIENTES","001","AGUASCALIENTES","01","1","03","1","","","6438.863900131","U","0002","0002"
"0100195.04","0100195","04","01","AGUASCALIENTES","001","AGUASCALIENTES","01","1","04","1","","","6438.863900131","U","0002","0002"
"0100195.05","0100195","05","01","AGUASCALIENTES","001","AGUASCALIENTES","01","1","05","2","02","04","6438.863900131","U","0002","0002"
"0100590.03","0100590","03","01","AGUASCALIENTES","001","AGUASCALIENTES","01","1","03","1","","","5869.0367879303","U","0003","0003"
"0100590.04","0100590","04","01","AGUASCALIENTES","001","AGUASCALIENTES","01","1","03","1","","","5869.0367879303","U","0003","0003"
"0100590.05","0100590","05","01","AGUASCALIENTES","001","AGUASCALIENTES","01","1","02","1","","","5869.0367879303","U","0003","0003"
"0100822.01","0100822","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","1","02","1","","","6662.06278039004","U","0004","0002"
"0100822.03","0100822","03","01","AGUASCALIENTES","001","AGUASCALIENTES","01","1","01","1","","","6662.06278039004","U","0004","0002"
"0100822.04","0100822","04","01","AGUASCALIENTES","001","AGUASCALIENTES","01","1","02","1","","","6662.06278039004","U","0004","0002"
"0100822.05","0100822","05","01","AGUASCALIENTES","001","AGUASCALIENTES","01","1","03","1","","","6662.06278039004","U","0004","0002"
"0100835.01","0100835","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","1","02","1","","","6590.49346877575","U","0440","0001"
"0100835.02","0100835","02","01","AGUASCALIENTES","001","AGUASCALIENTES","01","1","01","1","","","6590.49346877575","U","0440","0001"
"0100835.03","0100835","03","01","AGUASCALIENTES","001","AGUASCALIENTES","01","1","03","1","","","6590.49346877575","U","0440","0001"
"0100835.05","0100835","05","01","AGUASCALIENTES","001","AGUASCALIENTES","01","1","03","1","","","6590.49346877575","U","0440","0001"
"0101087.01","0101087","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","2","03","1","","","5500.09300560075","U","0005","0002"
"0101087.02","0101087","02","01","AGUASCALIENTES","001","AGUASCALIENTES","01","2","04","1","","","5500.09300560075","U","0005","0002"
"0101087.03","0101087","03","01","AGUASCALIENTES","001","AGUASCALIENTES","01","1","01","1","","","5500.09300560075","U","0005","0002"
"0101087.04","0101087","04","01","AGUASCALIENTES","001","AGUASCALIENTES","01","2","02","1","","","5500.09300560075","U","0005","0002"
"0101087.05","0101087","05","01","AGUASCALIENTES","001","AGUASCALIENTES","01","2","03","1","","","5500.09300560075","U","0005","0002"
"0101214.01","0101214","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","1","03","1","","","4299.61053790339","U","0006","0003"
"0101214.02","0101214","02","01","AGUASCALIENTES","001","AGUASCALIENTES","01","1","05","1","","","4299.61053790339","U","0006","0003"
"0101214.03","0101214","03","01","AGUASCALIENTES","001","AGUASCALIENTES","01","1","02","1","","","4299.61053790339","U","0006","0003"
