"NOMBRE_CAMPO","NEMONICO","TIPO","LONGITUD","RANGO_CLAVES"
"Identificador de vivienda seleccionada","ID_VIV","Caracter","10","0100001.01, …, 3299999.05"
"Unidad primaria de muestreo","UPM","Caracter","7","0100001, …, 3299999"
"Número de vivienda seleccionada","VIV_SEL","Caracter","2","01, …, 05"
"Clave de entidad federativa","CVE_ENT","Caracter","2","01, ..., 32"
"Nombre de la entidad federativa","NOM_ENT","Texto","255","Texto mínimo 6 caracteres"
"Clave de municipio","CVE_MUN","Caracter","3","001, …, 570"
"Nombre del municipio","NOM_MUN","Texto","255","Texto mínimo 6 caracteres"
"Resultado de la visita a la vivienda","COD_RES","Caracter","2","01"
"Clase de vivienda","P1_1","Numérico","1","1"
"Clase de vivienda","P1_1","Numérico","1","2"
"Clase de vivienda","P1_1","Numérico","1","3"
"Clase de vivienda","P1_1","Numérico","1","4"
"Clase de vivienda","P1_1","Numérico","1","5"
"Personas en la vivienda","P2_1","Caracter","2","01, ..., 30"
"Gasto común","P2_2","Numérico","1","1"
"Gasto común","P2_2","Numérico","1","2"
"Número de hogares","P2_3","Caracter","2","01, ..., 06"
"Personas del hogar principal","P2_4","Caracter","2","01, ..., 30"
"Factor de expansión de vivienda","FAC_VIV","Numérico","6","1, …, 999999"
"Dominio","DOMINIO","Caracter","1","U"
"Unidad primaria de muestreo de diseño","UPM_DIS","Caracter","7","0000001, …, 9999999"
"Estrato de Diseño","EST_DIS","Caracter","3","001, …, 999"
