P4_2_01,Gobierno federal 
P4_2_02,Gobierno estatal 
P4_2_03,Gobierno Municipal / de la Alcaldía
P4_2_04,Congreso de la Unión
P4_2_05,Congreso estatal 
P4_2_06,Partidos políticos
P4_2_07,Guardia Nacional
P4_2_08,Policía estatal 
P4_2_09,Policía Preventiva Municipal 
P4_2_10,Personas empleadas del gobierno federal
P4_2_11,Personas empleadas del gobierno estatal
P4_2_12,Personas empleadas del gobierno municipal / de la alcaldía
P4_2_13,Suprema Corte de Justicia de la Nación y jueces
P4_2_14,Medios de comunicación
P4_2_15,Organizaciones internacionales
P4_2_16,Fuerzas Armadas
