clave,lat,lon,estacion,edo,abr-23
ABAYC,-89.681111,20.649444,Abal·,YUC,0
ABSGJ,-101.536667,20.446944,Abasolo,GTO,0
ABSTP,-98.39,24.065556,Abasolo,TAMPS,60.6
ACACP,-92.804167,16.552778,Acala,CHIS,0
ACAGR,-99.906667,16.849722,Acapulco,GRO,0
ACANR,-105.354167,22.49,Acaponeta,NAY,0
ACAVC,-96.843889,19.695833,Acatl·n,VER,61.55
ACHPB,-97.418056,19.45,Alchichilca,PUE,11.709
ACHZC,-103.225278,22.327222,Achimec,JAL,0
ACJPB,-97.934167,19.0625,Acajete,PUE,62.4
ACNGJ,-100.712222,20.0325,Ac·mbaro,GTO,0.03
ACNSO,-110.226111,29.825,Aconchi,SON,0
ACTHD,-98.941667,20.268056,Actopan,HGO,0
ACTSI,-106.654167,24.047222,Acatit·n,SIN,0
ACTVC,-96.5875,19.495,Actopan,VER,20.53
ADOPB,-98.055,18.277222,Acatl·n de Osorio,PUE,24.301
AEGGJ,-100.683333,20.533333,Apaseo el Grande,GTO,0
AERGR,-99.516944,17.576389,Observatorio de Chilpancingo Aeropuerto,GRO,9.7
AFIGR,-100.5175,18.075833,AndrÈs Figueroa,GRO,0.01
AFRPB,-98.135833,18.9425,Africam,PUE,37.8
AGDVC,-94.144444,18.141667,Agua Dulce,VER,23
AGMNR,-104.802222,21.839167,Aguamilpa Solidaridad,NAY,0
AGOMC,-100.608889,19.579722,Agostitl·n,MICH,0.7
AGZCH,-107.482778,28.481667,Abraham Gonz·lez,CHIH,0
AHAPB,-97.920833,18.854167,Ahuatepec,PUE,43
AHUGR,-98.975278,17.719722,Ahuacuotzingo,GRO,7.4
AHUPB,-98.148056,20.033056,Ahuazontepec,PUE,34.3
AJJJL,-102.436944,21.599444,Ajoj˙car,JAL,0
AJTSL,-98.558333,21.972222,Las Adjuntas,SLP,32.1
ALAVC,-97.68,20.93,¡lamo Temapache,VER,112.01
ALMSI,-107.388333,25.101389,Adolfo LÛpez Mateos,SIN,0
ALRBN,-116.908333,32.444722,Abelardo L. RodrÌguez,BC,0
