LON,LAT,EDO,CLAVE,ESTACION,dic-23
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",48.82
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",47.6
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",42.52
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",36.3
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",49.5
-102.189167,21.826667,AGS,CLVAG,"Calvillo, Ags.",56.46
-101.992222,21.897778,AGS,CNSAG,"Los Conos, Ags.",53.32
-102.296667,22.362778,AGS,CSOAG,"Cosío, Ags.",24.72
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",31.8
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",46.33
-102.371667,21.78,AGS,NGRAG,"El Niágara, Ags.",55.93
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",50
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",56.8
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",25.6
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",56
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",34.2
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",34.83
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",34.12
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",34.11
-102.608333,22.269444,AGS,SIERRAFRIA,"Sierra Fría, Ags. SMN*",48.6
-102.108889,21.885,AGS,SNVAG,"Sandovales, Ags.",51
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",59.1
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",41.32
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",12
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",12.41
-115.921667,32.042222,BC,CONST1857,"Constitución de 1857, B.C. SMN*",11.8
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",19.1
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",13.03
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",16.21
-115.931389,30.517222,BC,ENBBN,"San Quintín, B.C.",3.8
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",18.5
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",3
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",1.02
-114.728056,32.705,BC,JMRBN,"Interconexión José María Morelos y Pavón, B.C.",26.2
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",4.2
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",26.2
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",3.2
-116.205556,32.272222,BC,RUMOROSA,"La Rumorosa, B.C. SMN*",0
-114.85,31.033333,BC,SFLBN,"Observatorio de San Felipe, B.C.",40.5
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",10.8
-111.353889,26.009722,BCS,BLORETO,"Bahía de Loreto, B.C.S. SMN*",0
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",0
-109.424444,23.445278,BCS,CPULMO,"Cabo Pulmo, B.C.S. SMN*",0
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",5.45
-114.051944,27.963056,BCS,GNGBS,"Guerrero Negro, B.C.S.",4.401
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",0
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",0.03
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",0
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",0.001
-111.829444,24.481111,BCS,PCORTESmar,"Puerto Cortés, B.C.S. SEMAR*",0
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",0
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",0.02
-110.059167,23.805,BCS,SANBS,"San Antonio, B.C.S.",0.01
