LON,LAT,EDO,CLAVE,ESTACION,feb-23
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",0
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",0
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",0
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",0
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",0
-101.992222,21.897778,AGS,CNSAG,"Los Conos, Ags.",0
-102.296667,22.362778,AGS,CSOAG,"Cosío, Ags.",0
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",0
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",0
-102.371667,21.78,AGS,NGRAG,"El Niágara, Ags.",0
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",0
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",0
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",0
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",0
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",0
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",0
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",38.66
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",57.02
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",57.43
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",49.13
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",43.2
-115.931389,30.517222,BC,ENBBN,"San Quintín, B.C.",21.3
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",0
-115.191944,32.412778,BC,ENVOLEONob,"Observatorio de Ejido Nuevo León, B.C. SMN*",0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",61.8
-114.728056,32.705,BC,JMRBN,"Interconexión José María Morelos y Pavón, B.C.",4.31
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",0.51
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. Rodríguez. 2, B.C. SMN*",43
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",2.2
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio López Zamora, B.C. SMN*",50.8
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",64
-116.205556,32.272222,BC,RUMOROSA,"La Rumorosa, B.C. SMN*",43.76
-114.834444,31.028056,BC,SFELIPEob,"Observatorio de San Felipe, B.C. SMN*",0
-114.85,31.033333,BC,SFLBN,"Observatorio de San Felipe, B.C.",0
-115.9375,30.531111,BC,SQNBN,"San Quintín, B.C. SMN*",25.4
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",48.17
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",1
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",11.03
-114.051944,27.963056,BCS,GNGBS,"Guerrero Negro, B.C.S.",8.24
-110.316667,24.116667,BCS,LAPAZob,"Observatorio de La Paz, B.C.S. SMN*",0
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",0
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",0
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",0.02
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",4.02
-111.829444,24.481111,BCS,PCORTESmar,"Puerto Cortés, B.C.S. SEMAR*",0
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",0.02
