LON,LAT,EDO,CLAVE,ESTACION,jul_23
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",119.83
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",148
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",98.36
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",57.4
-101.992222,21.897778,AGS,CNSAG,"Los Conos, Ags.",34.14
-102.296667,22.362778,AGS,CSOAG,"Cosío, Ags.",43.93
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",35.01
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",124.31
-102.371667,21.78,AGS,NGRAG,"El Niágara, Ags.",114.4
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",97.44
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",74.4
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",10.41
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",21.92
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",50.36
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",121.53
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",3
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",0
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",0.5
-115.921667,32.042222,BC,CONST1857,"Constitución de 1857, B.C. SMN*",4.4
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",0
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",0.3
-115.931389,30.517222,BC,ENBBN,"San Quintín, B.C.",0
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",22.9
-114.728056,32.705,BC,JMRBN,"Interconexión José María Morelos y Pavón, B.C.",0
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",8.52
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. Rodríguez. 2, B.C. SMN*",0
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",1.8
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",0.4
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio López Zamora, B.C. SMN*",0
-116.205556,32.272222,BC,RUMOROSA,"La Rumorosa, B.C. SMN*",2.54
-114.85,31.033333,BC,SFLBN,"Observatorio de San Felipe, B.C.",0
-115.9375,30.531111,BC,SQNBN,"San Quintín, B.C. SMN*",0
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",1.2
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",0.01
-109.424444,23.445278,BCS,CPULMO,"Cabo Pulmo, B.C.S. SMN*",0.9
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",26.51
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",0.01
-114.051944,27.963056,BCS,GNGBS,"Guerrero Negro, B.C.S.",1.71
-110.372222,24.098611,BCS,LAPAZmar,"La Paz, B.C.S. SEMAR*",40.132
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",0.01
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",0.61
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",3.62
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",1.52
-111.829444,24.481111,BCS,PCORTESmar,"Puerto Cortés, B.C.S. SEMAR*",0
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",0
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",6.62
-110.059167,23.805,BCS,SANBS,"San Antonio, B.C.S.",29.13
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico, B.C.S. SMN*",0
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",0
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",1.02
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",21
-109.924444,22.888333,BCS,SLUBS,"Cabo San Lucas, B.C.S. SMN*",10.2
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",27.81
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa Rosalía, B.C.S.",0
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",28.81
-89.743889,20.003889,CAMP,BOLCA,"Bolonchén, Camp.",94.61
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",301.4
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",105.4
-91.962778,20.203889,CAMP,CAYOARCASmar,"Cayo Arcas, Camp. SEMAR*",21.844
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",195.5
-90.544167,19.838333,CAMP,CMPCA,"Campeche, Camp.",192.8
-91.046111,18.183056,CAMP,CNDCA,"Candelaria, Camp.",291.04
-90.507222,19.838611,CAMP,COBCA,"Observatorio de Campeche, Camp.",248.7
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",166.01
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",153
-89.848333,19.751944,CAMP,HPOCA,"Hopelchen, Camp.",93.2
-90.820833,18.056944,CAMP,MONCLOVACAMP,"Monclova, Camp. SMN*",76.6
-90.221389,19.605833,CAMP,NYXCA,"Noh-Yaxché, Camp.",150
-92.086944,18.253056,CAMP,PLZCA,"Palizada, Camp.",185.5
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",194.6
-89.860278,19.664444,CAMP,XCPCA,"Xcupil, Camp.",58.03
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",117.5
-99.099722,19.379167,DF,ACULCO,"Planta de Bombeo Aculco, Cd. de Méx. SACMEX*",57.24
-99.188889,19.214722,DF,AJUSCO,"Ajusco, Cd. de Méx. UNAM*",211.57
-99.210278,19.218611,DF,AJUSCODF,"Ajusco, Cd. de Méx. SACMEX*",202.68
-99.174167,19.240833,DF,AMC,"Academia Mexicana de Ciencias, Cd. de Méx. UNAM*",124.47
-99.102778,19.423056,DF,BALBUENA,"Balbuena, Cd. de Méx. UNAM*",116.4
-99.118056,19.469722,DF,BONDOJITO,"Bondojito, Cd. de Méx. UNAM*",103.465
-99.195,19.292222,DF,BTLALPAN,"Rebombeo Bosque de Tlalpan, Cd. de Méx. SACMEX*",26.25
-98.998056,19.356111,DF,CARCELMUJERES,"Cárcel de Mujeres, Cd. de Méx. SACMEX*",73.65
-99.059722,19.383889,DF,CCHOTE,"CCH Oriente, Cd. de Méx. UNAM*",82.75
-99.140833,19.483333,DF,CCHVALLEJO,"CCH Vallejo, Cd. de Méx. UNAM*",99.86
-99.082222,19.408611,DF,CDEPORTIVA,"Ciudad Deportiva, Cd. de Méx. SACMEX*",13.5
