LON,LAT,EDO,CLAVE,ESTACION,may_23
-102.71,21.85,AGS,CALVILLO,"Calvillo SMN, Ags.",7.02
-102.68,22,AGS,CDRAG,"La Codorniz, Ags.",24.2
-102.36,22.12,AGS,JCQAG,"Jocoque, Ags.",7.21
-102.79,21.81,AGS,MNLAG,"Media Luna, Ags.",9.2
-102.37,21.78,AGS,NGRAG,"El Ni·gara, Ags.",2.5
-102.47,22.19,AGS,P50ANIV,"Presa Cincuenta Aniversario SMN, Ags.",11
-102.42,22.14,AGS,PECAG,"Plutarco ElÌas Calles, Ags.",14
-102.44,22.24,AGS,PTRAG,"Derivadora PabellÛn, Ags.",16.3
-116.2,32.27,BC,AGHBN,"Agua Hechicera, B.C.",0
-116.91,32.44,BC,ALRBN,"Abelardo L. RodrÌguez, B.C.",3.2
-116.7,32.48,BC,CRRBN,"El Carrizo, B.C.",1
-116.83,32.47,BC,EFLBN,"El Florido, B.C.",2.01
-116.6,31.89,BC,ELZBN,"Emilio LÛpez Zamora, B.C.",2.71
-115.93,30.52,BC,ENBBN,"San QuintÌn, B.C.",0
-115.15,32.41,BC,ENLBN,"Observatorio de Ejido Nuevo LeÛn, B.C.",0
-116.3,32.52,BC,HNGBN,"El Hongo, B.C.",0
-114.73,32.71,BC,JMRBN,"InterconexiÛn JosÈ Maria Morelos y PavÛn, B.C.",0
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",0
-116.91,32.45,BC,PABELARLRDGZ2,"Abelardo L. RodrÌguez 2 SMN, B.C.",1.6
-114.73,32.7,BC,PDMBN,"Presa derivadora Morelos, B.C.",0
-117.07,32.38,BC,PLAYAROSARITO,"Playa Rosarito SMN, B.C.",0.2
-116.6,31.89,BC,PLOPEZZAMORA,"Presa Emilio LÛpez Zamora SMN, B.C.",5
-116.68,32.54,BC,PRTBN,"La Puerta, B.C.",4.4
-116.21,32.27,BC,RUMOROSA,La Rumorosa SMN B.C.,0.25
-114.85,31.03,BC,SFLBN,"Observatorio de San Felipe, B.C.",0
-115.94,30.53,BC,SQNBN,"San QuintÌn SMN, B.C.",0
-116.66,32.57,BC,TECATE,"Tecate SMN, B.C.",1.4
-111.66,25.01,BCS,CCNBS,"Observatorio de Ciudad ConstituciÛn, B.C.S.",0.01
-109.93,22.9,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0
-113.46,27.64,BCS,DORBS,"DÌaz Ordaz, B.C.S.",0
-114.05,27.96,BCS,GNGBS,"Guerrero Negro, B.C.S.",0
-109.7,23.68,BCS,LBABS,"Los Barriles, B.C.S.",0
-110.37,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",0
-111.35,26.01,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",5.95
-111.98,26.9,BCS,MLGBS,"MulegÈ, B.C.S.",0
-111.83,24.48,BCS,PCORTESmar,"Puerto CortÈs SEMAR, B.C.S.",0
-109.93,23.97,BCS,PLNBS,"Los Planes, B.C.S.",0
-109.59,23.59,BCS,RBRBS,"La Ribera, B.C.S.",0.01
-110.06,23.81,BCS,SANBS,"San Antonio, B.C.S.",0
-110,24.08,BCS,SARBS,"El Sargento, B.C.S.",0
-109.84,23.74,BCS,SBABS,"San Bartolo, B.C.S.",0
-109.71,23.12,BCS,SJCBS,"San JosÈ del Cabo, B.C.S.",0
-110,23.56,BCS,SLAGUNA,"Sierra La Laguna SMN, B.C.S.",1.2
-109.71,23.49,BCS,SNTBS,"Santiago, B.C.S.",0
-112.27,27.34,BCS,SRLBS,"Santa RosalÌa, B.C.S.",0
-110.21,23.48,BCS,TSNBS,"Todos Santos, B.C.S.",0
-89.74,20,CAMP,BOLCA,"BolonchÈn, Camp.",13.2
-90.58,19.3,CAMP,CANCA,"Canasayab, Camp.",6
-91.76,18.65,CAMP,CARCA,"El Carmen, Camp.",56.5
-90.72,19.36,CAMP,CHMCA,"ChampotÛn, Camp.",23.01
-90.54,19.84,CAMP,CMPCA,"Campeche, Camp.",85
-91.05,18.18,CAMP,CNDCA,"Candelaria, Camp.",134.41
-90.51,19.84,CAMP,COBCA,"Observatorio de Campeche, Camp.",68.5
-90.74,18.6,CAMP,ESCCA,"Esc·rcega, Camp.",53.1
-90.11,20.18,CAMP,HECCA,"Hecelchak·n, Camp.",131
-89.85,19.75,CAMP,HPOCA,"HopelchÈn, Camp.",30
-90.82,18.06,CAMP,MONCLOVACAMP,"Monclova SMN, Camp.",89
-90.22,19.61,CAMP,NYXCA,"Noh-YaxchÈ, Camp.",46.7
-92.09,18.25,CAMP,PLZCA,"Palizada, Camp.",94.5
-91.18,18.97,CAMP,SBNCA,"Sabancuy, Camp.",17
-89.86,19.66,CAMP,XCPCA,"Xcupil, Camp.",11.5
-89.4,18.5,CAMP,XPJCA,"Xpujil, Camp.",73.5
-99.21,19.22,DF,AJSDF,"Ajusco, Cd. de MÈx.",121.92
-99.19,19.21,DF,AJUSCO,"Ajusco UNAM, Cd. de MÈx.",119.31
-99.17,19.24,DF,AMC,"Academia Mexicana de Ciencias UNAM, Cd. de MÈx.",68.88
-99.1,19.42,DF,BALBUENA,"Balbuena UNAM, Cd. de MÈx.",51.27
-99.12,19.47,DF,BONDOJITO,"Bondojito UNAM, Cd. de MÈx.",74.52
-99.28,19.44,DF,BOSQUEREAL,"Bosque Real UNAM, MÈx.",65.55
-99.17,19.45,DF,CBIDF,"Escuela Nacional de Ciencias BiolÛgicas IPN SMN, Cd. de MÈx.",30.89
-99.06,19.38,DF,CCHOTE,"CCH Oriente UNAM, Cd. de MÈx.",44.77
-99.14,19.48,DF,CCHVALLEJO,"CCH Vallejo UNAM, Cd. de MÈx.",61.64
-99.18,19.35,DF,CCUDF,"Universidad, Cd. de MÈx.",77.72
-99,19.36,DF,CDMDF,"C·rcel de Mujeres, Cd. de MÈx.",21.83
-99.11,19.41,DF,CDVDF,"Ciudad Deportiva, Cd. de MÈx.",0
-99.14,19.52,DF,CEADF,"Campamento Amealco, Cd. de MÈx.",25.11
-99.21,19.16,DF,CFSDF,"Caseta Forestal, Cd. de MÈx.",0
-99.14,19.47,DF,CMTDF,"Avenida Cien Metros, Cd. de MÈx.",4.32
-99.18,19.49,DF,CMYDF,"Campamento Mecoaya, Cd. de MÈx.",50.77
-99.2,19.41,DF,CTMDF,"Observatorio de Tacubaya, Cd. de MÈx.",48.4
-99.09,19.19,DF,CTNDF,"San Salvador Cuautenco, Cd. de MÈx.",22.29
-99.29,19.36,DF,CUAJIMALPA,"Memetla Cuajimalpa UNAM, Cd. de MÈx.",78.4
-99.14,19.55,DF,CUAUTEPEC,"Cuautepec UNAM, MÈx.",49.64
-99.11,19.32,DF,CULHUACAN,"Culhuac·n UNAM, Cd. de MÈx.",40.76
-99.09,19.48,DF,CYLDF,"Coyol, Cd. de MÈx.",37.11
-99.21,19.3,DF,DATDF,"DesviaciÛn Alta, Cd. de MÈx.",7.3
-99.31,19.31,DF,DDELOSLEONES,"Desierto de los Leones CDMX, Cd. de MÈx.",0
-99.13,19.43,DF,DDFDF,"Gobierno de la Ciudad de MÈxico, Cd. de MÈx.",23.81
-99.16,19.38,DF,DELVALLE,"Del Valle, Cd. de MÈx. SACMEX*",5.61
-99.31,19.31,DF,DTLDF,"Desierto de los Leones, Cd. de MÈx.",0
-99.15,19.3,DF,EAZDF,"Estadio Azteca, Cd. de MÈx.",17.25
-99.29,19.36,DF,EYQDF,"El Yaqui, Cd. de MÈx.",0
-99.09,19.48,DF,GCNDF,"Km. 6+250, Cd. de MÈx.",7.4
-99.25,19.42,DF,HERRADURA,"Herradura UNAM, MÈx.",36.41
-99.12,19.5,DF,INDIOSVER,"Indios Verdes UNAM, Cd. de MÈx.",56.38
-98.98,19.34,DF,LACALDERA,"La Caldera SubestaciÛn elÈctrica Santa LucÌa, MÈx. SACMEX*",29.45
-99.07,19.38,DF,LU4DF,"Lumbrera Cuatro RÌos (El Moral), Cd. de MÈx.",12.95
-99.3,19.34,DF,LVNDF,"La Venta, Cd. de MÈx.",0
-99.13,19.4,DF,MCRDF,"Marcos Carrillo, Cd. de MÈx.",24.1
-99.12,19.36,DF,MEXICALTZI,"Mexicaltzingo UNAM, Cd. de MÈx.",58.03
