LON,LAT,EDO,CLAVE,ESTACION,oct-23
-102.189167,21.826667,AGS,CLVAG,"Calvillo, Ags.",32.91
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",75.65
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",60.7
-102.296667,22.362778,AGS,CSOAG,"Cosío, Ags.",60.42
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",55.9
-102.371667,21.78,AGS,NGRAG,"El Niágara, Ags.",43.83
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",50
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",116.5
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",75.4
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",59
-101.992222,21.897778,AGS,CNSAG,"Los Conos, Ags.",51.85
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",124.74
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",69.22
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",70.61
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",58
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",77
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",64
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",59.73
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",11.7
-102.108889,21.885,AGS,SNVAG,"Sandovales, Ags.",43
-102.608333,22.269444,AGS,SIERRAFRIA,"Sierra Fría, Ags. SMN*",75
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",47.32
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",0.01
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",0
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",1
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",1
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",0
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",7.51
-114.728056,32.705,BC,JMRBN,"Interconexión José María Morelos y Pavón, B.C.",0
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",0
-116.205556,32.272222,BC,RUMOROSA,"La Rumorosa, B.C. SMN*",1.51
-115.376111,32.625833,BC,MEXICALIob,"Mexicali Observatorio, B.C. SMN*",0
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",0.01
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",0
-114.85,31.033333,BC,SFLBN,"Observatorio de San Felipe, B.C.",0
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",0
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",0
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",0
-115.931389,30.517222,BC,ENBBN,"San Quintín, B.C.",0
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",1.6
-109.424444,23.445278,BCS,CPULMO,"Cabo Pulmo, B.C.S. SMN*",13.7
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",240.01
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",0.51
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",41.52
-114.051944,27.963056,BCS,GNGBS,"Guerrero Negro, B.C.S.",5.83
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",180.22
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",88
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",208.02
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",0
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",47.9
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",363.93
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",27.22
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa Rosalía, B.C.S.",0
-111.829444,24.481111,BCS,PCORTESmar,"Puerto Cortés, B.C.S. SEMAR*",10.922
-110.059167,23.805,BCS,SANBS,"San Antonio, B.C.S.",431.01
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",489.02
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",85.01
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico, B.C.S. SMN*",0.6
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",192.41
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",476.4
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",119
-89.743889,20.003889,CAMP,BOLCA,"Bolonchén, Camp.",89.01
-89.8925,18.365,CAMP,CALAKMUL,"Calakmul, Camp. SMN*",86
-90.544167,19.838333,CAMP,CMPCA,"Campeche, Camp.",35.5
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",59.5
-91.046111,18.183056,CAMP,CNDCA,"Candelaria, Camp.",149.73
-91.962778,20.203889,CAMP,CAYOARCASmar,"Cayo Arcas, Camp. SEMAR*",46.734
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",101.01
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",306.2
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",148.22
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",55
-89.848333,19.751944,CAMP,HPOCA,"Hopelchen, Camp.",43.5
-90.820833,18.056944,CAMP,MONCLOVACAMP,"Monclova, Camp. SMN*",77.8
-90.221389,19.605833,CAMP,NYXCA,"Noh-Yaxché, Camp.",116.2
-90.507222,19.838611,CAMP,COBCA,"Observatorio de Campeche, Camp.",82.61
-92.086944,18.253056,CAMP,PLZCA,"Palizada, Camp.",297.3
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",153.01
-89.860278,19.664444,CAMP,XCPCA,"Xcupil, Camp.",166.91
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",50
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",20.5
-107.9,27.9,CHIH,BTVCH,"Batovira, Chih.",41
-106.770556,26.229444,CHIH,CHNCH,"Chinatú, Chih. SMN*",138.8
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",15.5
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad Cuauhtémoc, Chih. SMN*",11
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",2
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",16.7
-105.381667,27.410278,CHIH,CL2CH,"Colina hidrométrica, Chih.",20.8
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",48.21
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",7.4
-105.277778,28.994722,CHIH,HGRANERO,"El Granero hidrométrica, Chih. SGT*",0
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",7.01
-105.628889,28.166111,CHIH,FIMCH,"Francisco I. Madero, Chih.",5.5
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",93.8
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",10.51
-105.28,28.984444,CHIH,LLNCH,"Ing. Luis L. León, Chih.",0
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",8
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",22.52
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",18
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",2.54
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",2.03
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",3.42
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",78.2
-107.85,28.95,CHIH,TMCCH,"Observatorio de Temósachic, Chih.",14.01
-104.43,29.583333,CHIH,OJINAGAC,"Ojinaga Río Conchos, Chih. CILA*",1.5
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",0.3
-104.74,29.5,CHIH,PEGUIS,"Peguis, Chih. SGT*",0
-105.254167,26.546389,CHIH,PAGCH,"Pico del Águila, Chih.",64.04
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",15
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",6.72
-106.505,30.615556,CHIH,VILLAAHUMADA,"Villa Ahumada, Chih. SMN*",17.25
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",64.05
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",117.1
-92.034722,16.737778,CHIS,ALTAMIRANO,"Altamirano, Chis. SGT*",197.8
